Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO WATER	5599-33	2020-08-17	2020-08-19	ML LUMBER & BUILDING S	513.60	CAD	513.60	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	TW4060	WW TREATMT::  NORTH TORONTO TP	5211	"Building Materials, Lumber Stores"	LUMBER
TORONTO WATER	5604-22	2020-08-24	2020-08-26	THE HOME DEPOT #7073	28.08	CAD	28.08	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	TW4060	WW TREATMT::  NORTH TORONTO TP	5200	Home Supply Warehouse	ECONO PAINT
TORONTO WATER	5604-23	2020-08-20	2020-08-26	TOOLKIT SUPPLY AND REN	42.96	CAD	42.96	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	TW4060	WW TREATMT::  NORTH TORONTO TP	5211	"Building Materials, Lumber Stores"	ACID AND MORTAR COLOUR
					"1,644.18"	CAD	"1,644.18"	CAD							
TORONTO WATER	5605-31	2020-08-25	2020-08-27	CDN TIRE STORE #00654	84.41	CAD	84.41	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7070	WTR TREAT & SUPPLY:TRANSMISSION-WEST SVC	5200	Home Supply Warehouse	PARTS
					84.41	CAD	84.41	CAD							
TORONTO WATER	5607-30	2020-08-28	2020-08-31	FABCO PLASTICS WHOLESA	"1,495.52"	CAD	"1,495.52"	CAD	3099	GENERAL EQUIPMENT	TW2025	D&C: CENTRAL SERVICES	5074	Plumbing and Heating Equipment	FLOW METER FOR HIGH PARK WELL
					"1,495.52"	CAD	"1,495.52"	CAD							
TRANSPORTATION SERVICES	5591-41	2020-08-04	2020-08-07	JP TOWING SERVICE AND	339.00	CAD	339.00	CAD	4424	CONTRACTED SERVICES - GENERAL	TS4020	CYCLING & PEDESTRIAN PROJECTS	7549	Towing Services	TOWING SERVICES FOR BILE LANE INSTALLATION
TRANSPORTATION SERVICES	5591-42	2020-08-04	2020-08-07	JP TOWING SERVICE AND	339.00	CAD	339.00	CAD	4424	CONTRACTED SERVICES - GENERAL	TS4020	CYCLING & PEDESTRIAN PROJECTS	7549	Towing Services	TOWING SERVICES FOR BILE LANE INSTALLATION
TRANSPORTATION SERVICES	5591-43	2020-08-04	2020-08-07	JP TOWING SERVICE AND	339.00	CAD	339.00	CAD	4424	CONTRACTED SERVICES - GENERAL	TS4020	CYCLING & PEDESTRIAN PROJECTS	7549	Towing Services	TOWING SERVICES FOR BILE LANE INSTALLATION
TRANSPORTATION SERVICES	5591-44	2020-08-04	2020-08-07	JP TOWING SERVICE AND	339.00	CAD	339.00	CAD	4424	CONTRACTED SERVICES - GENERAL	TS4020	CYCLING & PEDESTRIAN PROJECTS	7549	Towing Services	TOWING SERVICES FOR BILE LANE INSTALLATION
TRANSPORTATION SERVICES	5591-45	2020-08-05	2020-08-07	JP TOWING SERVICE AND	339.00	CAD	339.00	CAD	4424	CONTRACTED SERVICES - GENERAL	TS4020	CYCLING & PEDESTRIAN PROJECTS	7549	Towing Services	TOWING SERVICES FOR BILE LANE INSTALLATION
TRANSPORTATION SERVICES	5591-46	2020-08-06	2020-08-07	JP TOWING SERVICE AND	339.00	CAD	339.00	CAD	4424	CONTRACTED SERVICES - GENERAL	TS4020	CYCLING & PEDESTRIAN PROJECTS	7549	Towing Services	TOWING SERVICES FOR BILE LANE INSTALLATION
TRANSPORTATION SERVICES	5592-42	2020-08-07	2020-08-10	JP TOWING SERVICE AND	423.75	CAD	423.75	CAD	4424	CONTRACTED SERVICES - GENERAL	TS4020	CYCLING & PEDESTRIAN PROJECTS	7549	Towing Services	TOWING SERVICES FOR BILE LANE INSTALLATION
