Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5851-2	2021-07-21	2021-07-22	NOBLE 1017	29.04	CAD	29.04	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5251	Hardware Stores	RIGID FITTINGS
"PARKS, FORESTRY & RECREATION"	5853-1	2021-07-23	2021-07-26	NOBLE 1007	504.31	CAD	504.31	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5251	Hardware Stores	RIGID FITTINGS
"PARKS, FORESTRY & RECREATION"	5853-2	2021-07-22	2021-07-26	CTF SUPPLY (11)	499.32	CAD	499.32	CAD	3080	M & E - HAND TOOLS	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5085	Industrial Supplies Not Elsewhere Classi	DRILL BITS AND ANCHORS
"PARKS, FORESTRY & RECREATION"	5855-4	2021-07-26	2021-07-28	THE HOME DEPOT #7080	31.97	CAD	31.97	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5200	Home Supply Warehouse	2X ESPRESSO
					"3,705.35"	CAD	"3,705.35"	CAD							
TORONTO WATER	5841-2	2021-07-06	2021-07-08	CDN TIRE STORE #00654	75.68	CAD	75.68	CAD	2710	GENERAL HARDWARE	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5200	Home Supply Warehouse	ENERGY WC ASSTD AND DRAMM
TORONTO WATER	5848-1	2021-07-16	2021-07-19	CORPORATE EXPRESS	30.51	CAD	30.51	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5943	"Office, School Supply, and Stationery St"	NAME PLATE
TORONTO WATER	5848-2	2021-07-16	2021-07-19	SYNTEC PROCESS EQUIPME	198.88	CAD	198.88	CAD	2710	GENERAL HARDWARE	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5046	Commercial Equipment Not Elsewhere Class	EXHAUST MUFFLER/SPEED CONTROL
TORONTO WATER	5854-2	2021-07-23	2021-07-27	CDN TIRE STORE #00654	27.09	CAD	27.09	CAD	2710	GENERAL HARDWARE	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5200	Home Supply Warehouse	ELECTRIC CLEANER
					332.16	CAD	332.16	CAD							
"PARKS, FORESTRY & RECREATION"	5835-1	2021-06-29	2021-07-01	THE HOME DEPOT #7107	78.99	CAD	78.99	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	GEJAPTRAP
